OBJECTID;Vigencia;Viviendas con servicio (Urbano);Viviendas con servicio (Rural);Viviendas con servicio (Total);Viviendas totales (Urbano);Viviendas totales (Rural);Viviendas totales;ICEE Urbano;ICEE Rural;ICEE Total;Viviendas sin servicio (Urbano);Viviendas sin servicio (Rural);Viviendas sin servicio (Total);metodologia
1;1995;;;5,841,119;;;7,675,139;;;76.1;;;1,834,020;
2;1996;;;6,147,608;;;7,814,814;;;78.67;;;1,667,206;
3;1997;;;6,478,315;;;7,957,408;;;81.41;;;1,479,093;
4;1998;;;6,801,281;;;8,103,866;;;83.93;;;1,302,585;
5;1999;;;7,097,421;;;8,252,121;;;86.01;;;1,154,700;
6;2000;;;7,338,950;;;8,399,252;;;87.38;;;1,060,302;
7;2001;;;7,489,708;;;8,532,306;;;87.78;;;1,042,598;
8;2002;;;7,734,054;;;8,752,807;;;88.36;;;1,018,753;
9;2003;;;7,939,054;;;8,852,694;;;89.68;;;913,640;
10;2004;;;8,224,966;;;9,149,638;;;89.89;;;924,672;
11;2005;;;8,838,940;;;9,623,608;;;91.85;;;784,668;
12;2006;;;8,942,363;;;9,627,230;;;92.89;;;684,867;
13;2007;;;9,354,270;;;9,982,336;;;93.71;;;628,066;
14;2008;;;9,688,296;;;10,261,327;;;94.42;;;573,031;
15;2009;;;10,547,013;;;11,109,087;;;94.94;;;562,074;
16;2010;;;10,962,965;;;11,481,700;;;95.48;;;518,735;
17;2011;8,770,635;2,458,365;11,229,000;8,875,946;2,847,009;11,722,953;98.81;86.35;95.79;105,311;388,644;493,953;
18;2012;9,172,929;2,421,279;11,594,208;9,210,663;2,853,789;12,064,452;99.59;84.84;96.1;37,734;432,511;470,244;
19;2013;10,021,924;2,569,663;12,591,587;10,042,375;3,022,243;13,064,618;99.8;85.03;96.38;20,463;452,580;473,031;
20;2014;10,948,564;2,652,245;13,600,809;10,975,471;3,093,952;14,069,423;99.75;85.72;96.67;26,907;441,707;468,614;
21;2015;10,715,964;2,852,393;13,568,357;10,745,880;3,247,689;13,993,569;99.72;87.83;96.96;29,916;395,296;425,212;
22;2016;11,071,575;2,858,927;13,930,505;11,102,248;3,255,954;14,358,202;99.72;87.81;97.02;30,673;397,027;427,697;
23;2017;11,416,740;2,873,561;14,290,301;11,463,045;3,285,982;14,749,027;99.6;87.45;96.89;46,305;412,421;458,726;
24;2018;11,564,268;2,737,323;15,312,288;11,885,390;4,245,017;16,130,407;97.3;64.48;94.93;204,530;613,589;818,119;
25;2019;12,030,848;3,186,980;15,730,178;12,404,726;4,334,494;16,739,220;96.99;73.53;93.97;252,261;756,782;1,009,042;
26;2020;12,373,264;3,188,604;16,211,355;12,899,297;4,419,654;17,318,951;95.92;72.15;93.6;276,899;830,697;1,107,596;
27;2021;13,197,243;3,515,980;16,773,387;13,335,263;4,491,715;17,826,978;98.97;78.28;94.09;263,398;790,193;1,053,591;
28;2022;13,250,585;3,796,824;17,048,597;13,744,565;4,565,960;18,310,525;96.41;83.16;93.1;315,482;946,446;1,261,928;
29;2023;14,007,964;3,419,555;17,427,519;14,153,977;4,644,936;18,798,913;98.97;73.62;92.7;146,013;1,225,381;1,371,394;
