id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
1;2007;ABJ1;LA CASCADA ( ABEJORRAL);3.00;0.00;SI;ND;AGUA;16/9/2007;EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ABEJORRAL;05002;ANTIOQUIA;4730066.882;2199881.798
2;2001;PRC2;PORCE II;405.00;2.14;NO;DC;AGUA;7/4/2001;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;AMALFI;05031;ANTIOQUIA;4781198.163;2329479.547
3;2007;AMF1;AMALFI;0.81;0.00;SI;ND;AGUA;4/8/2007;HZ ENERGY S.A.S. E.S.P.;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;AMALFI;05031;ANTIOQUIA;4781198.163;2329479.547
4;2017;2TUV;LUZMA II;19.60;3.64;SI;ND;AGUA;6/10/2017;ISAGEN S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;AMALFI;05031;ANTIOQUIA;4781198.163;2329479.547
5;2017;2TUT;LUZMA I;19.60;3.66;SI;ND;AGUA;6/10/2017;ISAGEN S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;AMALFI;05031;ANTIOQUIA;4781198.163;2329479.547
6;2010;SRA1;SANTA RITA;1.30;0.68;SI;ND;AGUA;17/8/2010;EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ANDES;05034;ANTIOQUIA;4674287.151;2178165.178
7;2011;PRC3;PORCE III;700.00;3.06;NO;DC;AGUA;8/2/2011;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ANORÍ;05040;ANTIOQUIA;4767250.156;2353360.607
8;2016;2S8U;PORCE III MENOR;1.80;0.89;SI;ND;AGUA;24/4/2016;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ANORÍ;05040;ANTIOQUIA;4767250.156;2353360.607
9;2015;PRV1;PROVIDENCIA;4.90;0.10;SI;ND;AGUA;29/9/2015;HZ ENERGY S.A.S. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ANORÍ;05040;ANTIOQUIA;4767250.156;2353360.607
10;2020;3ADA;AUTOG PTAR BELLO;5.00;0.00;SI;ND;BIOGAS;29/11/2020;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;BELLO;05088;ANTIOQUIA;4713602.916;2261362.308
